battery_power,brand,processor_speed,dual_sim,fc,four_g,int_memory,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,os,price
2974,Apple,1.7,0,4,1,225,130,1,25,4221,6,1,1,0,iOS,905.68
3229,Itel,1.5,1,6,1,33,100,5,19,7628,5,1,1,0,Android,856.58
3592,Itel,0.6,1,11,0,164,244,1,21,1657,2,0,0,0,Android,492.24
2939,Itel,2.8,0,10,1,175,139,3,17,6281,8,1,0,1,Android,1105.58
3653,Itel,2.7,1,9,1,60,174,3,33,782,3,1,1,0,Android,1267.65
3060,Itel,1.8,0,14,0,76,155,7,4,4213,10,0,0,1,Android,732.51
3099,Itel,1,1,7,0,37,213,5,2,2877,17,1,0,0,Android,913.34
3895,Itel,2.7,1,1,1,150,103,2,28,2173,16,1,0,1,Android,635.58
3402,Itel,2.8,0,15,0,165,237,2,13,3946,11,0,1,0,Android,1349.94
1212,Itel,1.9,0,10,0,86,163,3,22,4380,8,0,1,1,Android,457.67
2125,Itel,2.6,0,3,1,211,117,3,48,870,22,0,0,0,Android,820.04
2603,Itel,2.7,1,6,0,83,189,2,26,3969,4,1,1,1,Android,489.41
2011,Itel,2.3,1,11,0,253,249,6,2,6584,8,1,1,0,Android,1391.48
1305,Itel,0.6,0,6,0,113,161,7,7,5643,18,0,1,0,Android,1001.06
2109,Itel,2,0,14,0,142,211,4,3,2635,6,1,1,0,Android,185.17
2406,Itel,1.1,1,0,1,230,146,3,12,6080,8,0,0,1,Android,472.81
4770,Itel,0.6,1,17,1,132,174,6,45,3068,3,1,0,1,Android,238.84
4076,Itel,2.5,0,4,1,206,146,2,22,7272,17,1,0,0,Android,525.2
1245,OnePlus,1.1,0,7,0,120,112,4,48,2265,18,1,1,0,iOS,832.3
1418,OnePlus,2.5,1,3,1,39,155,1,11,6303,11,1,0,1,iOS,834.23
1907,OnePlus,1.8,0,2,0,145,240,6,15,3235,21,0,0,0,iOS,1212.19
4671,OnePlus,2.7,0,6,1,97,235,5,31,4953,11,0,0,1,iOS,398.98
2077,OnePlus,1.8,1,4,1,223,214,3,28,2327,19,0,1,0,iOS,537.47
4219,OnePlus,2.1,1,9,1,87,150,5,49,7944,9,1,1,0,iOS,395.9
2370,OnePlus,1.7,0,11,1,91,208,5,5,5869,22,0,1,1,iOS,1024.71
507,OnePlus,1.6,1,2,1,3,187,5,47,3967,14,0,1,0,iOS,525.03
1561,OnePlus,1.3,1,13,1,234,159,7,34,3546,13,1,1,0,iOS,732.63
4009,OnePlus,2.5,1,4,0,11,173,4,11,7081,10,1,1,0,iOS,373.67
3635,OnePlus,1.9,1,6,1,243,223,3,36,836,4,0,0,1,iOS,1318.08
4925,OnePlus,1.8,0,10,1,24,232,4,28,1214,17,0,0,0,iOS,1095.49
4308,OnePlus,1.1,1,16,0,66,113,7,25,1922,22,0,1,0,iOS,1161.17
3677,OnePlus,1.8,1,1,1,78,130,1,27,5447,20,1,0,0,iOS,338.35
4295,OnePlus,1,1,4,0,165,227,1,28,3201,22,0,0,0,iOS,1423.94
2316,OnePlus,2.3,1,10,0,126,196,7,26,6809,18,0,0,0,iOS,763.25
2162,OnePlus,1.9,1,10,1,158,162,5,21,4885,21,0,0,0,iOS,914.23
4239,OnePlus,1.7,0,6,0,82,245,7,36,3385,5,0,1,0,iOS,963.53
4012,OnePlus,2.7,0,17,0,142,124,7,18,4316,16,0,0,0,iOS,607.62
4740,OnePlus,1.3,1,3,1,14,121,5,42,987,10,0,0,0,iOS,274.46
4513,OnePlus,2.1,1,5,0,61,189,2,48,4684,23,1,0,1,iOS,768.59
1392,OnePlus,2,1,19,0,202,214,7,48,1898,5,1,1,1,iOS,929.68
1170,OnePlus,1.2,1,16,1,177,246,3,14,5116,13,1,1,1,iOS,283.17
3018,OnePlus,2.9,1,19,0,106,201,3,26,7867,12,1,1,0,iOS,649.05
582,OnePlus,1.8,0,14,0,15,167,2,27,5220,13,0,1,0,iOS,661.15
2945,Huawei,2.8,1,11,0,160,156,4,12,1054,4,0,0,1,iOS,289.37
3889,Huawei,1.5,1,12,1,3,238,1,21,7340,20,0,1,1,iOS,355.08
894,Huawei,2.4,1,4,1,105,161,4,13,3348,9,0,0,0,iOS,563.16
4649,Huawei,0.6,0,16,0,227,175,7,46,2413,8,1,0,0,iOS,529.34
1527,Huawei,2.5,1,15,0,105,146,6,42,3973,21,0,1,1,iOS,174.22
1486,Huawei,1.7,0,3,1,126,156,3,39,5077,2,1,0,0,iOS,604.63
3624,Huawei,1.2,0,14,0,97,210,2,44,7586,20,0,0,0,iOS,120.13
1166,Huawei,2.7,0,7,0,153,131,1,30,1151,11,1,1,0,iOS,872.99
4188,Huawei,2.3,1,9,0,70,154,6,18,796,6,1,0,0,iOS,262.8
3308,Huawei,2,1,17,1,181,183,7,23,7687,8,0,0,0,iOS,378.75
3402,Huawei,1.4,0,2,0,141,105,2,23,6036,13,1,1,0,iOS,793.53
3154,Huawei,2.2,0,11,0,131,107,4,35,7021,4,1,0,0,iOS,1133.32
1010,Itel,2.7,1,15,0,120,109,2,15,3813,8,1,1,1,Android,176.13
3822,Itel,1.5,0,12,1,167,162,2,17,1117,19,1,0,0,Android,462.49
2544,Itel,0.6,1,12,0,233,212,4,30,2476,17,1,0,1,Android,483.09
1905,Itel,2,1,3,0,80,150,5,12,1676,16,1,1,1,Android,653.32
719,Itel,1.7,0,10,1,114,219,2,22,1441,22,1,1,1,Android,337.75
1844,Itel,1.1,1,10,1,93,180,5,19,4017,15,1,1,1,Android,1217.29
1750,Itel,2.1,0,9,1,176,136,7,6,2619,17,0,0,0,Android,307.74
1482,Apple,1.5,0,5,1,79,202,1,2,4281,9,1,1,0,iOS,1484.77
4215,Apple,2.2,1,18,0,179,155,7,4,612,15,1,0,1,iOS,1208.11
4502,Apple,1.8,1,0,0,23,217,1,2,6311,9,1,1,1,iOS,1126.58
4540,Apple,2.1,1,10,0,18,237,3,25,5647,2,0,1,1,iOS,426.2
2265,Apple,0.6,1,9,0,40,165,4,29,1270,19,0,0,1,iOS,540.7
4426,Apple,1,0,5,1,72,205,1,43,6551,12,1,0,0,iOS,1129.93
4487,Apple,0.6,1,7,0,32,196,2,23,5555,22,1,1,0,iOS,1397.41
4744,Apple,0.8,0,8,1,204,237,5,15,4128,6,0,1,0,iOS,957.53
1926,Apple,2.8,0,8,1,226,186,1,18,2806,10,0,0,1,iOS,337.7
917,Apple,0.8,1,0,0,73,182,1,19,750,6,0,1,1,iOS,1282.84
1689,Apple,2.9,1,18,1,232,171,4,17,7110,9,0,1,0,iOS,776.75
4552,Apple,2.8,0,11,1,134,160,7,19,5947,14,0,0,0,iOS,882.46
3476,Apple,0.9,1,1,1,8,175,6,14,7686,12,1,1,0,iOS,237.71
2261,Apple,2.5,1,2,0,199,121,6,15,6729,14,1,0,1,iOS,911.77
503,Apple,1.9,1,17,0,50,104,3,7,5367,9,0,0,0,iOS,1417.94
3955,Apple,1.9,1,16,0,211,217,4,24,4975,2,1,1,0,iOS,1066.48
3378,Apple,2.2,0,16,0,186,242,3,20,6365,11,1,0,0,iOS,1028.97
3175,Apple,0.8,0,10,1,86,172,3,8,590,10,1,0,1,iOS,1018.35
3569,Apple,0.5,0,0,1,106,141,7,44,5933,13,0,0,0,iOS,1134.77
4559,Apple,1.9,1,16,1,196,109,5,42,3469,11,0,1,1,iOS,1435.25
3142,Apple,1,0,13,0,68,122,5,13,3755,20,0,1,0,iOS,615.06
4765,Apple,2.8,0,0,0,168,202,3,12,5577,14,1,0,0,iOS,740.88
3885,Apple,1.6,1,12,0,76,237,1,48,6440,14,0,0,1,iOS,647.77
1700,Apple,2.3,1,13,1,229,227,7,26,4542,20,1,1,0,iOS,670.17
2149,Apple,3,0,10,1,201,226,2,7,5812,7,1,0,1,iOS,999.3
4028,Apple,2.3,0,17,1,84,237,2,26,4219,19,1,1,0,iOS,695.61
1303,Apple,1.8,1,18,0,11,175,7,13,5561,19,1,0,1,iOS,925.48
2303,Apple,2.7,0,16,0,74,185,3,27,4687,23,1,0,0,iOS,182.27
2725,Apple,2,0,5,0,153,105,6,29,1093,15,1,0,1,iOS,248.15
4766,Apple,1.6,1,10,1,163,132,3,10,7141,4,0,1,1,iOS,1187.95
854,Apple,1.7,1,17,1,96,110,4,18,5839,23,1,1,1,iOS,740.95
1529,Apple,1.5,1,10,1,200,161,1,39,5247,7,0,0,1,iOS,1017.98
4654,Apple,1.3,1,2,0,48,182,7,5,8088,5,1,1,1,iOS,891.33
3759,Apple,1.7,1,4,0,54,137,4,25,4190,18,1,1,1,iOS,306.28
4819,Apple,2.9,1,2,1,112,234,2,23,2098,14,0,1,1,iOS,235.94
3025,Apple,1.6,1,6,0,139,140,6,19,5852,16,0,1,0,iOS,1315.73
2163,Apple,2.5,1,12,1,130,242,5,25,4942,9,0,0,0,iOS,281.16
1080,Apple,1.3,1,6,1,144,233,5,8,2559,17,0,0,1,iOS,1483.72
1329,Apple,2.8,1,18,1,44,224,2,44,4547,4,1,1,1,iOS,297.52
532,Tecno,1.4,1,7,0,109,155,7,2,5079,6,1,0,0,Android,430.27
2771,Tecno,2.1,1,18,1,62,219,2,12,1630,15,1,1,0,Android,1463.07
1150,Tecno,0.9,1,2,1,157,200,7,14,6836,13,1,1,1,Android,963.97
3747,Tecno,2.5,1,1,1,22,178,1,30,3747,19,0,1,1,Android,437.32
862,Tecno,2,1,8,1,25,204,4,33,2927,21,0,1,0,Android,1052.62
3967,Tecno,1.3,0,1,0,164,197,5,48,7621,16,1,1,0,Android,582.03
1417,Tecno,2.7,0,6,0,40,113,4,34,7761,21,1,1,0,Android,623.66
2665,Tecno,0.6,1,2,0,5,177,2,27,4559,17,0,1,0,Android,1087.04
1852,Tecno,2.2,1,5,1,26,130,2,32,6956,7,1,1,0,Android,144.44
2767,Tecno,2.9,1,6,1,92,217,5,11,4899,21,1,1,0,Android,1440
1394,Tecno,2.6,0,6,0,183,116,2,18,4940,5,1,0,0,Android,1183.28
1388,Tecno,1.5,1,4,0,154,231,1,30,2097,5,1,1,0,Android,940.3
2106,Tecno,2.8,1,16,0,62,205,4,32,4868,18,1,0,0,Android,1200.53
4059,Tecno,2.9,1,5,1,94,233,6,32,1243,10,1,0,0,Android,904.23
4066,Tecno,1.2,0,14,1,41,235,5,12,3980,14,0,1,1,Android,816.41
1775,Tecno,1.3,0,11,1,149,175,3,18,2988,2,1,0,1,Android,1061.19
520,Tecno,2.6,1,12,1,93,114,7,8,7753,4,1,0,1,Android,560.97
1279,Tecno,2.4,1,0,1,33,231,2,17,4714,10,0,0,1,Android,477.15
1776,Tecno,0.8,0,0,0,143,133,3,38,4661,3,0,1,0,Android,526.21
3374,Tecno,2.2,0,14,0,111,230,7,34,6932,13,1,0,1,Android,346.8
3456,Tecno,2.8,0,9,1,4,156,6,19,704,21,1,1,1,Android,915.44
4372,Tecno,1.9,0,14,1,154,166,7,20,1231,3,1,0,1,Android,555.62
4335,Tecno,0.6,1,17,0,161,175,1,20,6298,12,0,1,1,Android,660.78
1613,Tecno,2.4,0,13,1,194,220,2,25,5384,5,1,1,1,Android,583.55
3019,Tecno,1.7,0,16,1,17,193,4,7,5007,11,0,0,0,Android,1191.97
2429,Tecno,1.2,0,6,1,42,128,3,7,6801,22,1,1,1,Android,1252.03
512,Tecno,1.3,1,8,0,151,212,2,41,688,23,0,0,0,Android,983.28
2164,Tecno,1.8,1,4,1,200,161,6,26,2609,3,0,0,0,Android,978.31
1168,Tecno,0.7,1,5,0,244,139,4,19,6145,4,0,0,0,Android,590.56
747,Tecno,2.1,0,18,0,212,117,7,49,2005,18,0,1,0,Android,1310.31
4907,Tecno,1.8,0,2,0,66,179,2,15,8066,2,1,0,1,Android,221.76
713,Tecno,2.6,1,6,0,66,234,1,37,8067,4,1,1,1,Android,1418.64
3507,Tecno,0.5,1,0,0,134,200,3,38,621,5,0,1,1,Android,1352.35
4480,Tecno,2.5,1,1,0,230,107,5,27,1256,6,1,1,0,Android,468.57
3351,Tecno,1.3,0,4,0,74,127,5,25,5658,12,1,0,0,Android,413.62
3453,Tecno,1,1,1,0,189,196,3,23,2800,22,0,0,0,Android,1336.9
4313,Tecno,2.8,1,12,0,197,237,6,2,5778,8,0,1,0,Android,720.25
1900,Tecno,1,0,13,1,97,180,4,31,1425,14,1,0,1,Android,344.93
2845,Tecno,1.8,1,6,1,197,233,1,32,3853,12,0,0,0,Android,1491.22
1477,Tecno,2,1,15,0,238,143,1,5,7142,9,1,0,1,Android,777.86
4486,Tecno,2.7,1,4,1,174,137,7,26,2750,12,0,0,0,Android,114.81
1793,Tecno,2,0,11,0,102,211,2,10,2441,12,0,1,1,Android,1059.89
4567,Tecno,2.2,1,12,0,191,230,3,26,2252,9,0,0,1,Android,851.81
1055,Tecno,1.8,1,19,0,194,177,4,4,1961,6,0,0,1,Android,194.91
4414,Tecno,2.9,1,15,1,48,212,4,22,2330,21,1,1,1,Android,103.89
3754,Tecno,1.3,0,18,0,207,208,3,21,3217,3,1,0,1,Android,188.24
1867,Tecno,2.2,0,3,0,6,126,5,41,6199,6,0,1,0,Android,406.13
2886,Tecno,2.4,0,16,0,166,160,7,18,2914,23,0,0,0,Android,1456.56
2065,Tecno,1,0,14,0,3,190,5,5,6597,19,0,1,1,Android,1087.22
2521,Tecno,1.7,0,9,1,44,127,1,36,7343,10,1,1,0,Android,1288.48
3551,OnePlus,2.2,1,1,1,116,227,5,15,6107,21,0,0,1,Android,533.25
3641,OnePlus,1.2,0,7,1,125,200,5,10,5213,9,0,1,0,Android,200.4
3981,OnePlus,0.8,1,14,0,39,115,2,34,6360,13,0,0,0,Android,1347.2
2502,OnePlus,1.1,1,17,1,59,146,2,16,4501,2,1,1,0,Android,1177.48
4141,OnePlus,0.9,0,7,0,197,142,1,16,2736,3,0,0,1,Android,345.24
592,OnePlus,1.6,1,19,0,172,188,1,12,8140,6,1,1,0,Android,649.44
1131,OnePlus,2.2,0,19,0,234,194,7,11,7657,4,0,0,1,Android,922.56
4184,OnePlus,3,0,19,1,176,135,3,33,5637,6,1,1,0,Android,931.21
2000,OnePlus,2.7,1,4,0,245,177,5,38,3800,14,1,0,1,Android,1182.3
4149,Itel,2.1,1,12,0,171,156,6,25,4156,19,1,0,0,Android,1085.32
4317,Itel,0.5,1,14,1,44,160,1,25,3516,15,0,0,1,Android,1277.34
4100,Itel,0.8,1,11,0,74,103,4,16,2999,2,0,1,0,Android,326.5
1651,Itel,1,0,11,0,218,141,2,16,7780,2,1,0,1,Android,949.08
714,Itel,2.1,0,1,0,106,219,3,38,1527,10,1,0,0,Android,541.05
3997,Itel,2,1,6,0,141,246,6,23,4599,11,0,0,1,Android,442.48
1811,Itel,2.7,0,17,1,231,141,1,13,7895,3,0,0,1,Android,298.83
3081,Itel,2.3,0,12,0,151,107,1,41,7441,23,1,1,0,Android,897.81
1773,Itel,1.9,0,0,1,9,233,7,44,1075,20,1,1,1,Android,957.48
3125,Itel,2.2,0,15,0,9,109,4,24,6934,16,0,0,1,Android,1075.76
3621,Itel,1.3,0,4,1,116,199,4,37,6316,22,1,1,1,Android,917.68
1479,Itel,0.5,1,0,1,139,180,5,22,6450,11,0,0,0,Android,296.98
985,Itel,0.7,0,12,0,5,227,1,35,923,10,0,1,1,Android,834.28
